customer_id,name,email,region,signup_date
CUST1128,Cameron Fisher,marydunn@hotmail.com,North,2024-09-07
CUST1129,Megan Orr,parsonsjohn@gmail.com,East,2024-07-08
CUST1130,Elizabeth Kelley,robertbauer@brown-copeland.info,East,2023-10-29
CUST1131,Dustin Jordan,jennifercarter@mendez.org,West,2025-01-09
CUST1132,Mary Marshall,elizabethmiller@yahoo.com,North,2024-01-06
CUST1133,Daniel Kennedy,myerstheodore@hughes.com,East,2025-02-06
CUST1134,Rebecca Jackson,john19@sherman.com,South,2024-10-25
CUST1135,Jose Schultz,epollard@white.info,South,2024-08-13
CUST1136,Robert Potter,james30@mahoney-robertson.net,South,2023-10-09
CUST1137,Courtney Gonzalez,benjamin34@yahoo.com,West,2025-06-28
CUST1138,David Alvarez,joshua56@paul-kline.biz,West,2024-08-30
CUST1139,Angel Perry,tylerjimenez@hotmail.com,East,2024-07-11
CUST1140,Cheyenne Horton,acostachristian@hotmail.com,West,2025-04-19
CUST1141,David Douglas Jr.,manuel15@phillips.com,West,2023-09-12
CUST1142,Patricia Rodriguez,sergio59@yahoo.com,East,2024-07-17
CUST1143,Christopher Rubio,jonesdana@yahoo.com,North,2023-11-10
CUST1144,Amber Wright,thomascathy@johnson-jones.com,South,2024-09-01
CUST1145,Joyce Solis,cherring@hotmail.com,West,2024-06-17
CUST1146,Victoria Larson,xrush@hines-berry.net,North,2024-07-19
CUST1147,Stephanie Salazar,redwards@gmail.com,West,2024-10-11
CUST1148,Kathy Rivas,fitzgeraldvictor@mcintyre-wilson.com,West,2023-09-13
CUST1149,Stephanie Manning,wendymitchell@yahoo.com,East,2024-10-07
CUST1150,David Wright,taylorcharles@roach.com,East,2024-07-24
CUST1151,Pamela Boyd,jenna88@yahoo.com,West,2025-01-03
CUST1152,Denise Jones,jenniferho@hotmail.com,East,2025-04-17
CUST1153,Devon Flores,william13@young.com,North,2024-03-26
CUST1154,Brenda Hall,tanner82@hotmail.com,West,2025-02-11
CUST1155,Michelle Brown,parkeryvonne@mendoza.org,West,2023-08-16
CUST1156,Joshua Perry,teresaday@owens-holmes.com,East,2024-06-02
CUST1157,Jason Stein,ryanbartlett@guerra.com,East,2024-02-13
CUST1158,Melissa Gates,fernandodonovan@gmail.com,West,2025-04-25
CUST1159,Jamie Smith,meghan43@hotmail.com,East,2023-08-02
CUST1160,Paul Castaneda,colleenmendez@gmail.com,West,2025-03-01
CUST1161,Jennifer Adkins,georgeweber@morgan.com,East,2024-01-16
CUST1162,Lindsey Walker,frykelli@curtis-wang.biz,South,2024-10-22
CUST1163,Jeffrey Johnson,ismall@may-turner.com,North,2023-09-25
CUST1164,Michael Powell,shawn02@yahoo.com,West,2023-09-04
CUST1165,John Anderson,vmarshall@hotmail.com,North,2024-06-24
CUST1166,Alyssa Long,michelle55@anderson-wood.net,East,2024-04-23
CUST1167,Alyssa Day,john14@wright-davis.com,North,2025-01-25
CUST1168,Joel Williams,kwright@yahoo.com,West,2023-09-18
CUST1169,Daniel Murphy,kathrynjimenez@hotmail.com,South,2024-09-23
CUST1170,Jamie Walton,fkoch@gmail.com,South,2023-09-15
CUST1171,Darlene Miller,pwagner@aguilar.com,South,2025-07-25
CUST1172,Joshua Cooke,pharper@hotmail.com,South,2025-06-24
CUST1173,Matthew Harrington,amanda16@gmail.com,South,2023-09-22
CUST1174,Nicole Herring,kathryn50@yahoo.com,West,2025-07-25
CUST1175,Alex Hernandez,michaelroberts@gordon-duran.com,West,2024-07-31
CUST1176,Michael Elliott,theresalong@grant-diaz.com,North,2023-08-24
CUST1177,Michael Wang,cporter@taylor.info,South,2024-03-09
CUST1178,Lawrence Adkins,catherinerobertson@yahoo.com,North,2024-06-12
CUST1179,Robert Oconnell,phillipjensen@yahoo.com,South,2023-12-17
CUST1180,Alexander Collins,terickson@yahoo.com,East,2025-03-19
CUST1181,Tina Sanders,mark16@parker.com,East,2023-11-13
CUST1182,Angela Vaughn,tammy99@gmail.com,West,2025-03-16
CUST1183,Ashley Barton,ojackson@harvey.com,North,2024-12-10
CUST1184,Lindsay Martinez,leescott@hernandez-vaughn.biz,West,2025-02-16
CUST1185,Dr. Hannah Patterson,thorntonapril@hotmail.com,West,2024-12-13
CUST1186,Jonathan Peterson,ufox@gmail.com,North,2024-06-21
CUST1187,Samantha Garcia,amy49@yahoo.com,East,2024-05-16
CUST1188,Madison Poole,joshuaevans@wise-bush.info,East,2025-06-22
CUST1189,Jessica Gross,ybailey@hotmail.com,West,2024-05-23
CUST1190,Debra Morton,david86@yahoo.com,East,2024-07-13
CUST1191,Karen Graham,kellyroberts@hotmail.com,South,2025-06-05
CUST1192,Debra Christian,sandra47@harris.com,West,2025-07-12
CUST1193,Angelica Keith,danielyang@gmail.com,East,2025-07-04
CUST1194,John Bishop,santiagoamanda@hall.info,South,2024-05-19
CUST1195,Allen Rosales,adampierce@russell.info,West,2024-05-17
CUST1196,Daniel Salinas,manuel01@andrews.com,West,2023-10-01
CUST1197,Spencer Haynes,lkhan@osborn.info,East,2025-01-11
CUST1198,Adam Vaughan,nancy04@morrison.info,East,2024-12-26
CUST1199,Nathan Freeman,melissamcdonald@gmail.com,West,2025-06-09
